"Organismo","Nome","CAE","Descrição","Setor","Distrito","Concelho","Código
 PME Líder"
"IAPMEI","100 Sisos, Lda.",,"Actividades  de medicina dentária e odontologia","Serviços","Porto                                                       ","Porto","L23-09790CGD"
"IAPMEI","100% Bébé - Comércio de Artigos para Bébé, Lda.",,"Comércio a retalho de vestuário para bebés e crianças, em estabelecimentos especializados","Comércio","Lisboa                                                      ","Cascais","L23-10617BKI"
"TP","1001 Ofertas - Take Away, Lda.",,"Restaurantes, n.e. (inclui actividades de restauração em meios móveis)","Turismo","Porto                                                       ","Gondomar","L23-05511BCP"
"IAPMEI","2Climas, Lda.",,"Instalação de climatização","Construção e Imobiliário","Coimbra                                                     ","Soure","L23-10591NB "
"IAPMEI","2KPSAC - Centros de Lavagem, Unip., Lda.",,"Manutenção e reparação de veículos automóveis","Comércio","Lisboa                                                      ","Odivelas","L23-00740BCP"
"TP","2MÉvora - Gestão de Restaurantes, Unip., Lda.",,"Restaurantes sem serviço de mesa ","Turismo","Évora                                                       ","Évora","L23-11671CAM"
"IAPMEI","2RF, Lda.",,"Comércio por grosso de materiais de construção (excepto madeira) e equipamento sanitário","Comércio","Viseu                                                       ","Viseu","L23-05103BPI"
"IAPMEI","301 Trans, Unip., Lda.",,"Transportes rodoviários de mercadorias","Transportes","Porto                                                       ","Gondomar","L23-08756BST"
"IAPMEI","321 Junk Services, Lda.",,"Recolha de outros resíduos não perigosos","Indústria","Lisboa                                                      ","Loures","L23-07277CGD"
"IAPMEI","3CLX - Engenharia, Lda.",,"Actividades de engenharia e técnicas afins","Serviços","Lisboa                                                      ","Oeiras","L23-08874NB "
"IAPMEI","3CMN, Lda.",,"Outras actividades de serviços de apoio prestados às empresas, n.e.","Serviços","Porto                                                       ","Vila Nova de Gaia","L23-08908CGD"
"IAPMEI","3D-Lab - Comunicação e Gestão de Imagem, Lda.",,"Agências de publicidade","Serviços","Coimbra                                                     ","Coimbra","L23-07955CGD"
"IAPMEI","3G Capital Partners, Lda.",,"Comércio a retalho de vestuário para adultos, em estabelecimentos especializados","Comércio","Ilha da Madeira                                             ","Funchal","L23-07594NB "
"IAPMEI","3URA, Unip., Lda.",,"Outras actividades de consultoria para os negócios e a gestão","Serviços","Porto                                                       ","Porto","L23-01262CGD"
"IAPMEI","4480 - Farmácia, Lda.",,"Comércio a retalho de produtos farmacêuticos, em estabelecimentos especializados","Comércio","Porto                                                       ","Vila do Conde","L23-06247CGD"
"IAPMEI","4Lean, Lda.",,"Comércio a retalho de outros produtos novos, em estabelecimentos especializados, n.e.","Comércio","Aveiro                                                      ","Santa Maria da Feira","L23-05995BST"
"IAPMEI","4S - Madeiras, Lda.",,"Exploração florestal","Agricultura e Pescas","Aveiro                                                      ","Sever do Vouga","L23-06376MG "
